*	542			
จี้	verb	2	(1) to tickle, poke (with a finger), to stimulate. (2) to hold up, rob, loot, plunder. (3) to hijack.	Compare Middle Chinese 刺 (MC t͡sʰiᴇᴴ, “spike; thorn”). Cognate with Northern Thai ᨧᩦ᩶, Khün ᨧᩦ᩶, Lao ຈີ້ (chī), Lü ᦈᦲᧉ (ṫsii²), Shan ၸီႈ (tsīī).
จุ่ม	verb	1	to soak, dip, immerse, douse.	Compare Middle Chinese 蘸 (MC t͡ʃˠɛmᴴ, “to dip”). Probably related with จุ้ม (jûm), จิ้ม (jîm), and จ่อม (jɔ̀ɔm). Cognate with Lao ຈຸ່ມ (chum), Isan จุ่ม, Northern Thai ᨧᩩ᩵ᨾ, Khün ᨧᩩ᩵ᨾ, Lü ᦈᦳᧄᧈ (ṫsum¹), Shan ၸုမ်ႇ (tsùm).
จุ้ม	verb	1	to douse; to steep; to soak; to immerse.	Compare Middle Chinese 蘸 (MC t͡ʃˠɛmᴴ, “to dip”). Probably related with จุ่ม (jùm), จิ้ม (jîm), and จ่อม (jɔ̀ɔm).
จ้วง	adj	1	Zhuang, of an ethnic group living mostly in the Guangxi Zhuang Autonomous Region in southern China	From Mandarin 壯／壮 (zhuàng).
ฉาง	noun	1	granary.	From Middle Chinese 倉 (MC t͡sʰɑŋ, “granary”). Cognate with Lao ສາງ (sāng).
ฉีก	verb	1	(1) to tear. (2) to separate (from a pair or set).	From Middle Chinese 拆. Cognate with Khün ᩈᩦ᩠ᨠ, Lao ສີກ (sīk) or ຈີກ (chīk), Lü ᦉᦲᧅᧈ (ṡiik¹), Tai Dam ꪊꪲꪀ, Shan သိၵ်ႇ (sìk), Phake ꩬိက် (sik) or ꩡိက် (cik), Ahom ???? (sik).
ชง	adj	2	(colloquial, astrology) inauspicious; unfavourable; unfortunate.	From Teochew 衝／冲 (chhiong, “to clash; to collide”).
ชง	verb	2	(colloquial, astrology) to be adversary, hostile, or opponent; to be in conflict (with).	From Teochew 衝／冲 (chhiong, “to clash; to collide”).
ชน	noun	1	gamecock	Cognate with Lao ຊົນ (son). Compare Khmer ជល់ (cŭəl), Middle Chinese 衝 (MC t͡ɕʰɨoŋ).
ชน	verb	1	(1) to collide with (2) to converge a period (3) to make some kind of animal fight against another e.g. cocks, oxen, buffaloes, elephants	Cognate with Lao ຊົນ (son). Compare Khmer ជល់ (cŭəl), Middle Chinese 衝 (MC t͡ɕʰɨoŋ).
ชวน	verb	1	to persuade; to induce; to urge	Compare Middle Chinese 勸 (MC kʰʉɐnᴴ). Cognate with Lao ຊວນ (sūan), Shan သူၼ်း (súún).
ชัง	verb	1	to dislike; to hate.	From Proto-Tai *ɟaŋᴬ (“to hate”), from Middle Chinese 憎 (MC t͡səŋ). Cognate with Isan ซัง, Lao ຊັງ (sang), Northern Thai ᨩᩢ᩠ᨦ, Lü ᦋᧂ (tsang), Tai Dam ꪋꪰꪉ, Shan ၸင်း (tsáng), Zhuang caengz.
ชั่ง	noun	1	(1) a traditional Thai unit of currency, equal to 80 บาท (bàat) or 20 ตำลึง (dtam-lʉng). (2) a traditional Thai unit of volume, equal to 20 ตำลึง (dtam-lʉng) or 1,200 grams. (3) a traditional Chinese unit of volume, equal to 600 grams.	From Proto-Tai *ɟaŋᴮ, probably from Middle Chinese 秤 (MC t͡ɕʰɨŋᴴ, “scales”) or 稱 (MC t͡ɕʰɨŋ, t͡ɕʰɨŋᴴ, “to weigh”). Cognate with Lao ຊັ່ງ (sang), Lü ᦋᧂᧈ (tsang¹), Shan ၸင်ႈ (tsāng), Zhuang caengh.
ชั่ง	verb	1	to weigh.	From Proto-Tai *ɟaŋᴮ, probably from Middle Chinese 秤 (MC t͡ɕʰɨŋᴴ, “scales”) or 稱 (MC t͡ɕʰɨŋ, t͡ɕʰɨŋᴴ, “to weigh”). Cognate with Lao ຊັ່ງ (sang), Lü ᦋᧂᧈ (tsang¹), Shan ၸင်ႈ (tsāng), Zhuang caengh.
ชั่ว	adj	2	bad, evil, wicked; base, low, mean; ill, objectionable, unsatisfactory, poor, faulty; hostile, unkindly, unfavorable, adverse.	Compare Middle Chinese 錯 (MC t͡sʰuoᴴ, “wrong; bad”). Cognate with Northern Thai ᨩ᩠ᩅᩫ᩵, Khün ᨩ᩠ᩅᩫ᩵, Lao ຊົ່ວ (sūa), Lü ᦷᦌᧈ (so¹).
ชา	noun	2	tea.	From Proto-Tai *ɟaːᴬ (“tea”), borrowed from Middle Chinese 茶 (MC ɖˠa). Cognate with Lao ຊາ (sā).
ชาติหมา	noun	1	(slang, derogatory, very offensive, often used as a curse word) (ไอ้, อี~) person of vulgar birth.	From ชาติ (châat, “birth”) + หมา (mǎa, “dog”). Compare Chinese 犬種／犬种.
ชิง	verb	1	(1) to contend, to contest, to compete; to strive, to struggle. (2) (auxiliary) to do (before or ahead of another person, an event, etc). (3) to seize: to take by force or without legal right. (4) (law) to rob: to take by unlawful force or threat of violence. (5) to rob, to steal, to take by theft; to kidnap, to abduct.	Compare Middle Chinese 爭 (MC t͡ʃˠɛŋ). Cognate with Lao ຊີງ (sīng), Khün ᨩᩥ᩠ᨦ, Shan ၸိင်း (tsíng), and Ahom ???? (chiṅ).
ชิง	name	2	Qing.	From Mandarin 清 (qīng), from 清朝 (Qīngcháo).
ชิงช้า	noun	1	swing (hanging seat).	Probably from Chinese 韆鞦／千秋 (“swing”) read as Cantonese cin1 cau1, Hakka qiên1 qiu1, or Min Nan chhian-chhiu.
ชิน	noun	1	(1) lead-tin alloy for making amulet. (2) (archaic) black lead or tin.	Compare Middle Chinese 鉛 (MC jiuᴇn, “lead (metal)”). Cognate with Lao ຊືນ (sư̄n), Northern Thai ᨩᩨ᩠ᨶ, Khün ᨩᩨ᩠ᨶ, Lü ᦋᦹᧃ (tsuen), Shan ၸိုၼ်း (tsúén), Tai Dam ꪋꪳꪙ, Tai Nüa ᥓᥧᥢᥰ (tsün).
ชี้	verb	1	(1) to point: to direct something at, to, or upon something. (2) (colloquial) to point out; to tell; to indicate. (3) to identify; to verify (the identity of). (4) to advise; to suggest; to recommend. (5) (of way) to guide; to lead; to conduct. (6) to stand; to erect.	From Proto-Tai *ɟiːꟲ (“to point”), from Middle Chinese 指 (MC t͡ɕˠiɪ^X, “finger; to point; to indicate”). Cognate with Northern Thai ᨩᩦ᩶, Lao ຊີ້ (sī), Lü ᦋᦲᧉ (tsii²), Tai Dam ꪋꪲ꫁, Shan ၸီႉ (tsḭ̂ḭ̂), Ahom ?? (chī), Nong Zhuang jix. Compare Vietnamese chỉ, chĩa.
ชื่อ	noun	1	(1) name; title. (2) dignity; glory; honour; reputation.	From Proto-Tai *ɟɤːᴮ (“name”), from Early Middle Chinese 字 (MC d͡zɨᴴ, “courtesy name”). Cognate with Northern Thai ᨩᩨ᩵, Isan ซื่อ, Lao ຊື່ (sư̄), Lü ᦋᦹᧈ (tsue¹), Shan ၸိုဝ်ႈ (tsūē), Ahom ????? (chüw) or ?? (chū).
ชุ่ย	adv	1	(colloquial, derogatory) sketchily, roughly, slipshodly, without refinement, without neatness; indiscreetly, imprudently, rashly, carelessly, without due consideration or care.	Compare Middle Chinese 率 (MC ʃˠiuɪᴴ, “hasty, indiscreet”).
ชุ่ย	verb	1	(archaic) to select; to choose; to pick.	Compare Middle Chinese 率 (MC ʃˠiuɪᴴ, “hasty, indiscreet”).
ช่วย	verb	1	to help.	From Middle Chinese 助 (MC d͡ʒɨʌᴴ). Cognate with Lao ຊ່ວຍ (suāi) or ຊ່ອຍ (sǭi), Northern Thai ᨩ᩠ᩅ᩠᩵ᨿ or ᨩᩬ᩠᩵ᨿ, Southern Thai ฉวย, Lü ᦋᦾᧈ (tsoay¹), Tai Dam ꪋ꪿ꪮꪥ, Shan ၸွႆႈ (tsāūī), Ahom ??? (choy) or ????? (chüñ).
ช่อ	noun	1	(1) bouquet. (2) bunch.	Compare Middle Chinese 束 (MC ɕɨok̚). Cognate with Lao ຊໍ່ (sǭ).
ช่าง	adv	2	(1) quite; to a degree. (2) in a skilful manner; in a manner showing a liking, affection, or preference.	From Proto-Southwestern Tai *ɟaːŋᴮ² (“artisan; skillful”), from Middle Chinese 匠 (MC d͡zɨɐŋᴴ, “craftsman, artisan”). Cognate with Northern Thai ᨩ᩵ᩣ᩠ᨦ, Khün ᨩ᩵ᩣ᩠ᨦ, Lao ຊ່າງ (sāng), Lü ᦋᦱᧂᧈ (tsaang¹), Shan ၸၢင်ႈ (tsāāng), Phake ꩡင် (caṅ), Ahom ??? (chaṅ), Zhuang cangh, Khmer ជាង (ciəng).
ช่าง	noun	2	person skilled in something: artisan, craftsman, master, technician, etc.	From Proto-Southwestern Tai *ɟaːŋᴮ² (“artisan; skillful”), from Middle Chinese 匠 (MC d͡zɨɐŋᴴ, “craftsman, artisan”). Cognate with Northern Thai ᨩ᩵ᩣ᩠ᨦ, Khün ᨩ᩵ᩣ᩠ᨦ, Lao ຊ່າງ (sāng), Lü ᦋᦱᧂᧈ (tsaang¹), Shan ၸၢင်ႈ (tsāāng), Phake ꩡင် (caṅ), Ahom ??? (chaṅ), Zhuang cangh, Khmer ជាង (ciəng).
ช้าง	adj	1	(slang) great (in importance, size, amount, number, degree, etc).	From Proto-Southwestern Tai *ɟaːŋꟲ² (“elephant”), from Proto-Tai *ɟaːŋꟲ (“elephant”), from Middle Chinese 象 (MC zɨɐŋ^X, “elephant”). Cognate with Northern Thai ᨩ᩶ᩣ᩠ᨦ, Isan ซ่าง, Lao ຊ້າງ (sāng), Lü ᦋᦱᧂᧉ (tsaang²), Tai Dam ꪋ꫁ꪱꪉ, Shan ၸၢင်ႉ (tsâ̰â̰ng), Tai Nüa ᥓᥣᥒᥳ (tsȧang), Ahom ??? (chaṅ), Zhuang ciengh, Saek ซาง.
ช้าง	clas	1	Classifier for elephants registered by the government.	From Proto-Southwestern Tai *ɟaːŋꟲ² (“elephant”), from Proto-Tai *ɟaːŋꟲ (“elephant”), from Middle Chinese 象 (MC zɨɐŋ^X, “elephant”). Cognate with Northern Thai ᨩ᩶ᩣ᩠ᨦ, Isan ซ่าง, Lao ຊ້າງ (sāng), Lü ᦋᦱᧂᧉ (tsaang²), Tai Dam ꪋ꫁ꪱꪉ, Shan ၸၢင်ႉ (tsâ̰â̰ng), Tai Nüa ᥓᥣᥒᥳ (tsȧang), Ahom ??? (chaṅ), Zhuang ciengh, Saek ซาง.
ช้าง	noun	1	(1) elephant. (2) (Thailand chess) bishop.	From Proto-Southwestern Tai *ɟaːŋꟲ² (“elephant”), from Proto-Tai *ɟaːŋꟲ (“elephant”), from Middle Chinese 象 (MC zɨɐŋ^X, “elephant”). Cognate with Northern Thai ᨩ᩶ᩣ᩠ᨦ, Isan ซ่าง, Lao ຊ້າງ (sāng), Lü ᦋᦱᧂᧉ (tsaang²), Tai Dam ꪋ꫁ꪱꪉ, Shan ၸၢင်ႉ (tsâ̰â̰ng), Tai Nüa ᥓᥣᥒᥳ (tsȧang), Ahom ??? (chaṅ), Zhuang ciengh, Saek ซาง.
ซัวเถา	name	1	Shantou, Swatow (a city in Guangdong, China)	From Teochew 汕頭／汕头 (suan1 tao5).
ซาปั๊ว	noun	1	(colloquial) retailer.	From Teochew 三盤／三盘 (san1 buan5, “retailer”, literally “third dish”).
ซาลาเปา	noun	1	(1) baozi (2) bun updo	Uncertain. The final syllable being from Chinese 包 (bāo, “bun”).
ซิง	adj	1	(1) (colloquial) new, fresh (2) (colloquial) virgin	From Teochew 新 (sing1, “new”).
ซินแส	noun	1	(1) doctor; physician. (2) teacher; instructor.	From Teochew 先生 (sing1 sên1).
ซิว	verb	2	(1) (colloquial) to collect; to gather. (2) (colloquial) to arrest; to apprehend; to seize; to capture. (3) (colloquial) to receive; to obtain; to acquire.	From Teochew 收 (siu1, “to collect, to gather; to arrest; to detain; to receive; etc”).
ซีอิ๊ว	noun	1	soy sauce	From Teochew 豉油 (si7 iu5).
ซี้ซั้ว	adv	1	recklessly; carelessly.	From Teochew 四散 (si3 suan2, “to scatter in all directions; carelessly”).
ซี้ซั้ว	verb	1	to do something recklessly or carelessly.	From Teochew 四散 (si3 suan2, “to scatter in all directions; carelessly”).
ซึ้ง	noun	2	steamer (for cooking).	From Teochew 甑 (seng5, “boiler for steaming rice”).
ซ้อ	noun	2	(colloquial, used amongst Chinese people) (อา~) elder sister-in-law; also used as a term of address to or title for an elder sister-in-law, and used by an elder sister-in-law as a self-reference.	From Teochew 嫂 (so2, “elder sister-in-law”).
ซ้าย	noun	1	left side (opposite of right).	From Old Chinese 左 (OC *ʔsaːlʔ, *ʔsaːls).<br>Cognate with Lao ຊ້າຍ (sāi), Northern Thai ᨪ᩶ᩣ᩠ᨿ, Khün ᨪ᩶ᩣ᩠ᨿ, Lü ᦌᦻᧉ (saay²), Shan သၢႆႉ (sâ̰â̰ḭ̂), Ahom ?? (say), Bouyei soix, Zhuang swix.
ดิน	noun	1	earth; ground; soil; land.	From Proto-Tai *ɗinᴬ (“earth”). Compare Middle Chinese 塵 (MC ɖˠiɪn). Cognate with Lao ດິນ (din), Northern Thai ᨯᩥ᩠ᨶ, Lü ᦡᦲᧃ (ḋiin), Shan လိၼ် (lǐn), Tai Dam ꪒꪲꪙ, Ahom ???? (din) or ???? (nin), Nong Zhuang ndin.
ดินประสิว	noun	1	saltpeter; potassium nitrate.	ดิน (din) + ประสิว, possibly from Chinese 硝 (xiāo, “saltpeter”) (Cantonese siu1, Hokkien siau, Teochew sieu1).
ด้วน	adj	1	amputated; maimed	From Middle Chinese 短 (MC tuɑn^X).
ตงฉิน	adj	1	honest; integrous.	Borrowed from Teochew 忠臣 (dong1 cing5).
ตงฉิน	noun	1	an honest public officer.	Borrowed from Teochew 忠臣 (dong1 cing5).
ตงฟาง	noun	1	(Internet slang) a transvestite or trans woman who is aging and influential, powerful, or vigourous.	From Mandarin 東方／东方 (dōngfāng, “east”), the family name of 東方／东方不敗／败 (dōngfāng bùbài, literally “Invincible East”), a character in the Chinese novel The Smiling, Proud Wanderer.
ตลับ	noun	1	small round case; cassette.	From Old Chinese 匣 (OC *ɡraːb, “small box”). Doublet of อับ (àp).
ตลับ	noun	1	a species of mollusc.	From Old Chinese 匣 (OC *ɡraːb, “small box”). Doublet of อับ (àp).
ตอ	noun	1	stump (of a tree).	From Proto-Tai *toːᴬ (“stump (of a tree)”), from Old Chinese 株 (OC *to, “stump”). Cognate with Northern Thai ᨲᩬᩴ, Lao ຕໍ (tǭ) or ກະຕໍ (ka tǭ), Shan တေႃ (tǎǔ), Phake တေႃ (tō), Ahom ??? (tō).
ตอก	noun	2	bamboo strip (for tying or weaving).	From Proto-Tai *b.twuːkᴰ (“bamboo strip for tying or weaving”). Compare Old Chinese 竹 (OC *tuɡ, “bamboo”). Cognate with Lao ຕອກ (tǭk), Lü ᦎᦸᧅᧈ (ṫoak¹), Shan တွၵ်ႇ (tàùk), Ahom ???? (tok).
ตอน	noun	1	(1) part; section; portion; division. (2) time; point (of time); occasion. (3) episode (as of a television series).	From Old Chinese 段 (OC *doːns). Cognate with Lao ຕອນ (tǭn), Lü ᦎᦸᧃ (ṫoan).
ตอน	prep	1	(colloquial) when; during; at (a point of time).	From Old Chinese 段 (OC *doːns). Cognate with Lao ຕອນ (tǭn), Lü ᦎᦸᧃ (ṫoan).
ตอน	verb	3	to castrate.	From Proto-Tai *toːnᴬ (“to castrate”). Compare Chinese 驐／? (dūn). Cognate with Lao ຕອນ (tǭn), Lü ᦎᦸᧃ (ṫoan), Shan တွၼ် (tǎǔn).
ตอบ	verb	1	(1) to counter (with same action) (2) to solve (3) to answer (4) to reply	From Proto-Southwestern Tai *tɔːpᴰ¹ᴸ (“to answer”), from Middle Chinese 答 (MC tʌp̚, “to answer; to reply”). Cognate with Northern Thai ᨲᩬᨷ, Lao ຕອບ (tǭp), Lü ᦎᦸᧇ (ṫoab), Tai Dam ꪔꪮꪚ, Shan တွပ်ႇ (tàùp), Phake တွပ် (top), Ahom ???? (top).
ตะหลิว	noun	1	spatula (used with pan and wok).	From Teochew 鼎溜 (dian2 liu6).
ตังถั่งเช่า	noun	1	caterpillar fungus (Ophiocordyceps sinensis).	From Teochew 冬蟲草／冬虫草 (dang1 tang5 cao2), shortened from 冬蟲夏草／冬虫夏草 (dang1 tang5 hê7 cao2).
ตังเม	noun	1	molasses; very thick syrup.	From a dialect of Chinese 糖蜜 (tángmì, “molasses”).
ตัว	clas	1	(1) (derogatory and offensive if applied to humans) Classifier for animals. (2) Classifier for digits, letters, and certain objects. (3) Classifier for certain nouns prefixed with ตัว. 	Ultimately from Chinese 頭 (OC *[m-t]ˁo). Cognate with Northern Thai ᨲ᩠ᩅᩫ, Lao ໂຕ (tō) or ຕົວ (tūa), Lü ᦷᦎ (ṫo), Tai Dam ꪶꪔ, Shan တူဝ် (tǒ), Ahom ?? (tū) or ?? (tu), Zhuang duz, Saek ทั๊ว and Khmer តួ (tuə). Compare also Japanese 頭 (tō, “counter for certain animals”).
ตัว	noun	1	(1) self. (2) figure; form; shape; body; embodiment. (3) figure, number; character; letter. (4) main part; material part; essence. (5) used as a prefix to indicate the state of being, of having a form, or of being an individual, animal, object, etc. (6) (slang, derogatory, offensive) (อี~) prostitute.	Ultimately from Chinese 頭 (OC *[m-t]ˁo). Cognate with Northern Thai ᨲ᩠ᩅᩫ, Lao ໂຕ (tō) or ຕົວ (tūa), Lü ᦷᦎ (ṫo), Tai Dam ꪶꪔ, Shan တူဝ် (tǒ), Ahom ?? (tū) or ?? (tu), Zhuang duz, Saek ทั๊ว and Khmer តួ (tuə). Compare also Japanese 頭 (tō, “counter for certain animals”).
ตัว	pron	1	(now considered colloquial) a second person pronoun, used to address a person of equal or lower status: you.	Ultimately from Chinese 頭 (OC *[m-t]ˁo). Cognate with Northern Thai ᨲ᩠ᩅᩫ, Lao ໂຕ (tō) or ຕົວ (tūa), Lü ᦷᦎ (ṫo), Tai Dam ꪶꪔ, Shan တူဝ် (tǒ), Ahom ?? (tū) or ?? (tu), Zhuang duz, Saek ทั๊ว and Khmer តួ (tuə). Compare also Japanese 頭 (tō, “counter for certain animals”).
ตั่ง	noun	1	a type of traditional seat or table having the form like a bed, usually having four legs.	From Proto-Southwestern Tai *taŋᴮ¹ (“stool”), from Proto-Tai *taŋᴮ (“stool”), from Middle Chinese 凳 (MC təŋᴴ, “stool, chair”). Cognate with Lao ຕັ່ງ (tang), Lü ᦎᧂᧈ (ṫang¹), Tai Dam ꪔꪰ꪿ꪉ, Shan တင်ႇ (tàng), Tai Nüa ᥖᥒᥱ (tǎng), Ahom ??? (taṅ), Zhuang daengq. Compare Khmer តាំង (tang).
ตั๋ว	noun	1	paper containing a statement about a certain right or title, as bill, deed, draft, licence, note, ticket, etc.	Borrowed from Teochew 單／单 (duan1, “slip; bill; note”).
ตา	noun	2	(1) (anatomy) eye. (2) (in combination) one who does something with an eye or the eyes, especially as a profession. (3) anything that is like an eye, as in terms of appearance or functions: hole; opening; aperture; etc. (4) (botany) bud. (5) sight; view; glimpse. (6) time; turn; moment; occasion.	From Proto-Tai *p.taːᴬ (“eye”). Cognate with Northern Thai ᨲᩣ, Lao ຕາ (tā), Lü ᦎᦱ (ṫaa), Tai Dam ꪔꪱ, Shan တႃ (tǎǎ), Aiton တႃ (tā), Ahom ?? (ta) or ?? (tā), Bouyei dal, Zhuang da. Within Kra-Dai, compare Sui ndal, Southern Kam dal, Hlai [ʈʂʰaː¹] and Lingao [ɗa¹]. Compare Old Chinese 睹 (OC *taːʔ, “to see”), Proto-Austronesian *mata (“eye”).
ติ่มซำ	noun	1	dim sum	From Cantonese 點心／点心 (dim2 sam1).
ตี๋	noun	1	(1) Thai boy of Chinese descent, especially one with conventional Chinese look (small eyes and white skin, for example). (2) Chinese boy. (3) younger brother.	Borrowed from Teochew 弟 (di6, “younger brother”).
ตึ๊ง	noun	1	Only used in โรงตึ๊ง (roong-dtʉ́ng).	From Teochew 當／当 (deng3, “to pawn; pawnshop”).
ตึ๊ง	verb	1	(colloquial) to pawn.	From Teochew 當／当 (deng3, “to pawn; pawnshop”).
ตือ	noun	1	(slang and derogatory) an obese male.	Borrowed from Teochew 豬／猪 (de1, “pig”), greatly influenced by ตือโป๊ยก่าย (dtʉʉ-bpóoi-gàai), from Teochew 豬八戒／猪八戒, a character in the Chinese classical novel Journey to the West.
ตุน	verb	1	to store; to hoard.	From Teochew 囤 (tung5).
ตุ๋น	verb	1	to braise.	From Min Nan 燉／炖 (tūn / dung6, “to heat, to stew”).
ตู้	noun	1	cabinet; cupboard; wardrobe.	Borrowed from Teochew 櫥／橱 (du5, “cabinet; wardrobe”). Cognate with Lao ຕູ້ (tū), Khmer ទូ (tuu), Vietnamese tủ.
ต่วน	noun	1	satin	Borrowed from Min Nan 緞／缎 (toān).
ต่อ	verb	2	(now chiefly in combination) to fight; to strike; to attack; to combat; to war; to battle.	Cognate with Northern Thai ᨲᩬᩴ᩵, Lao ຕໍ່ (tǭ), Khün ᨲᩳ᩵, Lü ᦎᦸᧈ (ṫoa¹), Shan တေႃႇ (tàù), Ahom ??? (tō). Compare Thai ท่อ (tɔ̂ɔ), ทอ (tɔɔ), Old Khmer dara (“to strike; to smite”), Modern Khmer ទរ (tɔɔ), Middle Chinese 鬥 (MC təuᴴ).
ถอด	verb	1	(1) to remove; to take off (2) to transliterate	From Middle Chinese 脫 (MC duɑt̚, tʰuɑt̚, “take off”). Cognate with Lao ຖອດ (thǭt), Lü ᦏᦸᧆᧈ (ṫhoad¹), Shan ထွတ်ႇ (thàùt), Ahom ???? (thot).
ถอย	verb	1	(1) to move back, backwards, aside, or away; to cause to do so. (2) (slang) to buy (a new car or other vehicle) . (3) (slang, humorous) to buy or get (something new). (4) to decrease; to reduce; to lessen; to diminish. (5) to retreat; to withdraw. (6) (figurative) to give up; to admit defeat; to quit; to yield.	From Middle Chinese 退 (MC tʰuʌiᴴ, “step back, withdraw”). Cognate with Lao ຖອຍ (thǭi), Lü ᦏᦾ (ṫhoay), Shan ထွႆ (thǎǔǐ).
ถะ	noun	1	(Chinese) pagoda.	Borrowed from Teochew 塔 (tah4).
ถัง	noun	1	(1) bucket. (2) barrel, keg or, cask.	Compare Middle Chinese 桶 (MC tʰuŋ^X, duŋ^X), Khmer ថាំង (thang) and ធុង (thung), Lao ຖັງ (thang) or ກະຖັງ (ka thang).
ถัง	name	2	Tang (dynasty).	From Mandarin 唐 (táng).
ถั่งเช่า	noun	1	caterpillar fungus (Ophiocordyceps sinensis).	From Teochew 蟲草／虫草 (tang5 cao2), shortened from 冬蟲夏草／冬虫夏草 (dang1 tang5 hê7 cao2).
ถั่ว	noun	1	legume; bean; pea; nut.	From Middle Chinese 豆 (MC dəuᴴ, “bean”). Cognate with Northern Thai ᨳ᩠ᩅᩫ᩵, Khün ᨳ᩠ᩅᩫ᩵, Lao ຖົ່ວ (thūa), Lü ᦷᦏᧈ (ṫho¹), Tai Dam ꪖ꪿ꪺ, Shan ထူဝ်ႇ (thò).
ถี่	adj	1	closely spaced; dense; intensive; thick.	Compare Middle Chinese 緻 (MC ɖˠiɪᴴ).
ถี่	adv	1	frequently; often.	Compare Middle Chinese 緻 (MC ɖˠiɪᴴ).
ถึก	adj	1	(used of a male water buffalo) young; still young.	From Proto-Southwestern Tai *tʰɤkᴰ (“young male animal”), from Middle Chinese 特 (MC dək̚, “bull”). Cognate with Lao ເຖິກ (thœk), Shan ထိုၵ်း (thúék), Ahom ????? (thük).
ถึง	noun	2	steam cooker.	From Teochew 燙／烫 (teng3, “hot; to heat up”).
ถือ	verb	1	(1) to hold, carry, or bear, with or as if with a hand. (2) to wield; to handle. (3) (of a status, position, title, etc) to hold; to have; to occupy. (4) to have (in charge); to be in charge of. (5) to take; to assume; to accept. (6) (archaic) to take (a loan); to rent; to lease. (7) to uphold; to support; to observe; to follow; to adhere (to). (8) (of a religion, cult, belief, etc) to profess. (9) to consider; to view; to deem. (10) to consider offensive or inappropriate; to view as a taboo.	Compare Middle Chinese 戴 (MC tʌiᴴ, “to carry on the head”). Cognate with Northern Thai ᨳᩨ, Lao ຖື (thư̄), Lü ᦏᦹ (ṫhue), Khün ᨳᩨ, Nong Zhuang tw.
ถูก	adj	1	(1) accurate; precise (2) appropriate; proper; suitable (3) conformable (4) correct; lawful; rightful	Compare Middle Chinese 觸 (MC t͡ɕʰɨok̚, “to touch; to come in contact with”). Cognate with Northern Thai ᨳᩪᨠ, Isan ถืก, Lao ຖືກ (thư̄k), Lü ᦏᦳᧅᧈ (ṫhuk¹), Khün ᨳᩪᨠ, Shan ထုၵ်ႇ (thùk), Tai Nüa ᥗᥧᥐᥴ (thúk), Ahom ???? (thuk).
ถูก	verb	1	(1) (auxiliary) used as a passive voice marker (2) to touch or be touched (3) to match; to fit together	Compare Middle Chinese 觸 (MC t͡ɕʰɨok̚, “to touch; to come in contact with”). Cognate with Northern Thai ᨳᩪᨠ, Isan ถืก, Lao ຖືກ (thư̄k), Lü ᦏᦳᧅᧈ (ṫhuk¹), Khün ᨳᩪᨠ, Shan ထုၵ်ႇ (thùk), Tai Nüa ᥗᥧᥐᥴ (thúk), Ahom ???? (thuk).
ถ่าน	noun	1	(1) charcoal, cinder. (2) dry battery.	From Middle Chinese 炭 (MC tʰɑnᴴ, “charcoal”). Cognate with Northern Thai ᨳ᩵ᩣ᩠ᨶ, Lao ຖ່ານ (thān), Lü ᦏᦱᧃᧈ (ṫhaan¹), Tai Nüa ᥗᥣᥢᥱ (thǎan), Shan ထၢၼ်ႇ (thààn), Phake ထꩫ် (than).
ถ้วย	noun	1	(1) cup; bowl. (2) trophy cup.	From Middle Chinese 斗 (MC təu^X, “cup-like object”).<br>Cognate with Lao ຖ້ວຍ (thuāi), Lü ᦏᦽᧉ (ṫhoy²), Bouyei doix, Zhuang duix, Lakkia ti².
ทราย	noun	1	sand.	From Proto-Southwestern Tai *zaːjᴬ⁴ (“sand”), from Proto-Tai *zwɯəjᴬ (“sand”), from Old Chinese 沙 (OC *sraːl, *sraːls, “sand”). Cognate with Northern Thai ᨪᩣ᩠ᨿ, Lao ຊາຍ (sāi), Lü ᦌᦻ (saay), Khün ᨪᩣ᩠ᨿ, Shan သၢႆး (sááí), Tai Nüa ᥔᥣᥭᥰ (säay), Ahom ?? (say) or ??? (sayu), Zhuang saiz, Nong Zhuang saiz. Compare Proto-Sino-Tibetan *(s/z)a-j (“earth, sand, soil”).<br>This word was written ซาย (saai) in documents prior to the 18ᵗʰ century, but shifted to the current spelling (with a cluster ทร initial) during the 18–19ᵗʰ centuries, possibly under the popular misconception that this word was of Khmer origin, and that the s- initial had developed from an earlier *dr-, whereas Khmer ទ្រាយ (triəy) means a kind of deer.
ทอง	noun	1	(1) gold. (2) (slang) feces. (3) any metallic material, such as bronze, brass, copper, etc.	From Old Chinese 銅 (OC *doːŋ, “copper”). Cognate with Old Khmer daṅa, d̈aṅa, daṅṅa, daṃṅa, doṅa, duṅa; Modern Khmer ទង់ (tŭəng), ថង (thɑɑng), ទង (tɔɔng); Lao ທອງ (thǭng); Vietnamese đồng.

ทา	verb	1	to apply something on something by means of rubbing, smearing, painting, or the like; to be applied with something in such manner: to wear, to have (on), etc.	From Proto-Tai *daːᴬ, from Middle Chinese 塗 (MC ɖˠa, “smear”). Cognate with Northern Thai ᨴᩤ, Lao ທາ (thā), Lü ᦑᦱ (taa), Tai Dam ꪕꪱ, Shan တႃး (táá), Ahom ?? (ta).
