*	5251			
ถุย	noun	1	sound of spitting: ptui.	Perhaps onomatopoeic. Compare Burmese ထွေး (htwe:), Old Burmese ထုယ်.
ถุย	verb	1	to spit.	Perhaps onomatopoeic. Compare Burmese ထွေး (htwe:), Old Burmese ထုယ်.
ถูก	adj	1	(1) accurate; precise (2) appropriate; proper; suitable (3) conformable (4) correct; lawful; rightful	Compare Middle Chinese 觸 (MC t͡ɕʰɨok̚, “to touch; to come in contact with”). Cognate with Northern Thai ᨳᩪᨠ, Isan ถืก, Lao ຖືກ (thư̄k), Lü ᦏᦳᧅᧈ (ṫhuk¹), Khün ᨳᩪᨠ, Shan ထုၵ်ႇ (thùk), Tai Nüa ᥗᥧᥐᥴ (thúk), Ahom ???? (thuk).
ถูก	verb	1	(1) (auxiliary) used as a passive voice marker (2) to touch or be touched (3) to match; to fit together	Compare Middle Chinese 觸 (MC t͡ɕʰɨok̚, “to touch; to come in contact with”). Cognate with Northern Thai ᨳᩪᨠ, Isan ถืก, Lao ຖືກ (thư̄k), Lü ᦏᦳᧅᧈ (ṫhuk¹), Khün ᨳᩪᨠ, Shan ထုၵ်ႇ (thùk), Tai Nüa ᥗᥧᥐᥴ (thúk), Ahom ???? (thuk).
ถูก	adj	2	cheap; inexpensive	Cognate with Northern Thai ᨳᩪᨠ, Isan ถืก, Lao ຖືກ (thư̄k), Lü ᦏᦳᧅᧈ (ṫhuk¹), Khün ᨳᩪᨠ, Nong Zhuang tuk.
ถ่ม	verb	1	to spit (saliva).	Cognate with Lao ຖົ່ມ (thom), Lü ᦏᦳᧄᧈ (ṫhum¹), Shan ထူမ်ႇ (thùùm), Tai Nüa ᥗᥧᥛᥱ (thǔm).
ถ่วง	verb	1	(1) to weight down. (2) (by extension) to delay; to hinder; to hamper; to retard.	Uncertain. Cognate with Lao ຖ່ວງ (thūang); Northern Thai ᨳ᩠ᩅ᩵ᨦ; Khün ᨳ᩠ᩅ᩵ᨦ.
ถ่าน	noun	1	(1) charcoal, cinder. (2) dry battery.	From Middle Chinese 炭 (MC tʰɑnᴴ, “charcoal”). Cognate with Northern Thai ᨳ᩵ᩣ᩠ᨶ, Lao ຖ່ານ (thān), Lü ᦏᦱᧃᧈ (ṫhaan¹), Tai Nüa ᥗᥣᥢᥱ (thǎan), Shan ထၢၼ်ႇ (thààn), Phake ထꩫ် (than).
ถ่าย	verb	1	(1) to transfer; to change one for another. (2) (colloquial) to film; to take a photo. (3) (colloquial) to defecate.	Cognate with Northern Thai ᨳ᩵ᩣ᩠ᨿ, Khün ᨳ᩵ᩣ᩠ᨿ, Lao ຖ່າຍ (thāi).
ถ้วย	noun	1	(1) cup; bowl. (2) trophy cup.	From Middle Chinese 斗 (MC təu^X, “cup-like object”).<br>Cognate with Lao ຖ້ວຍ (thuāi), Lü ᦏᦽᧉ (ṫhoy²), Bouyei doix, Zhuang duix, Lakkia ti².
ถ้อย	noun	1	word(s).	Cognate with Lao ຖ້ອຍ (thǭi), Northern Thai ᨳ᩶ᩬ᩠ᨿ, Lü ᦏᦾᧉ (ṫhoay²), Shan ထွႆႈ (thāūī).
ถ้า	conj	1	if.	Compare Northern Thai ᨳ᩶ᩣ, Lao ຖ້າ (thā), Shan ထႃႈ (thāā), Tai Dam ꪖ꫁ꪱ, Southern Thai ท้า.
ถ้ำ	noun	1	cave; tunnel	From Proto-Tai *cramꟲ (“cave”). Cognate with Lao ຖ້ຳ (tham), Northern Thai ᨳ᩶ᩣᩴ, Khün ᨳ᩶ᩣᩴ, Lü ᦏᧄᧉ (ṫham²), Shan ထမ်ႈ (thām), Phake ထံ (thaṃ), Tai Dam ꪖꪾ꫁, Ahom ?? (thaṃ), Zhuang gamj.
ทด	verb	1	(1) to irrigate. (2) to carry (in arithmetic). (3) (archaic) to compensate; to repay.	Compare Khmer ទស់ (tŭəh), Mon ဒိုအ်.
ทนาย	noun	1	(1) (archaic) agent, delegate, representative; attendant, retainer, servant. (2) (historical) person who acts on behalf of or represents a มูลนาย (muun-naai) who is entitled to 400 or more ศักดินา (sàk-dì-naa), especially when the มูลนาย (muun-naai) is a party to a legal case.	From Old Khmer ទ្នាយ៑ (dnāy, “agent, servant; attendance, service; etc”).
ทบ	verb	1	to fold; to double up	From Proto-Tai *dopᴰ. Cognate with Lao ທົບ (thop), Shan တူပ်ႉ (tṵ̂ṵ̂p), Tai Nüa ᥖᥨᥙ (top).
ทบิลีซี	name	1	Tbilisi (the capital city of Georgia)	From English Tbilisi.
ทพ	noun	1	(elegant) troops; armed force.	From Sanskrit दव (dava, “troops; armed force”).
ทมิฬ	adj	1	fierce; ferocious.	Borrowed from Pali damiḷa, from Tamil தமிழ் (tamiḻ).
ทมิฬ	name	1	Tamil (people or language).	Borrowed from Pali damiḷa, from Tamil தமிழ் (tamiḻ).
ทรง	adj	1	(used of animals) considered, registered, or recorded as belonging to a god, high priest, or royal person.	From Old Khmer draṅ, droṅ, draṅa, drūṅa (“to bear, to carry, to hold, to support; to have, to possess; etc”). Cognate with Modern Khmer ទ្រង់ (trŭəng); Lao ຊົງ (song); Thai ตรง (dtrong).
ทรง	adv	1	used as a ceremonious addition to a verb generally applicable to commoners, so as to make it applicable to the subject that is a god, high priest, or royal person etc.	From Old Khmer draṅ, droṅ, draṅa, drūṅa (“to bear, to carry, to hold, to support; to have, to possess; etc”). Cognate with Modern Khmer ទ្រង់ (trŭəng); Lao ຊົງ (song); Thai ตรง (dtrong).
ทรง	noun	1	(1) shape; form. (2) kind, sort, or type, as with reference to form, appearance, or character.	From Old Khmer draṅ, droṅ, draṅa, drūṅa (“to bear, to carry, to hold, to support; to have, to possess; etc”). Cognate with Modern Khmer ទ្រង់ (trŭəng); Lao ຊົງ (song); Thai ตรง (dtrong).
ทรง	verb	1	(1) to serve as a foundation for; to bear; to hold up. (2) to have; to possess. (3) to remain; to stay. (4) to remember; to memorise. (5) to be able to remain in an upright position or posture. (6) to hold or carry in a particular manner. (7) to ride; to mount. (8) to bear; to carry; to hold; to possess; to uphold.	From Old Khmer draṅ, droṅ, draṅa, drūṅa (“to bear, to carry, to hold, to support; to have, to possess; etc”). Cognate with Modern Khmer ទ្រង់ (trŭəng); Lao ຊົງ (song); Thai ตรง (dtrong).
ทรชนาธิปไตย	noun	1	kakistocracy.	From ทรชน (tɔɔ-rá-chon, literally “bad person”) + อธิปไตย (à-tí-bpà-dtai, “supremacy; sovereignty”); calque of English kakistocracy.
ทรพี	noun	2	ladle.	From Sanskrit दर्वि (darvi, “ladle”).
ทรยศ	noun	1	betrayal.	From Old Khmer dūrayasa (“disgrace; disgraced”); ultimately from Sanskrit दुर्यशस् (duryaśas, “disgrace”). Same as ทร (tɔɔn) + ยศ (yót). Doublet of ทุรยศ (tú-rá-yót). Compare Modern Khmer ទុយ៌ស (turəyŭəh).
ทรยศ	verb	1	to betray.	From Old Khmer dūrayasa (“disgrace; disgraced”); ultimately from Sanskrit दुर्यशस् (duryaśas, “disgrace”). Same as ทร (tɔɔn) + ยศ (yót). Doublet of ทุรยศ (tú-rá-yót). Compare Modern Khmer ទុយ៌ស (turəyŭəh).
ทรวง	noun	1	(1) (formal, elegant) breast; chest. (2) (figurative) heart.	From Angkorian Old Khmer drvaṅ (“breast; chest”). Compare Old Khmer drūṅa, Pre-Angkorian Old Khmer droṅ. Cognate with Modern Khmer ទ្រូង (truung), Lao ຊວງ (sūang).
ทรอมโบน	noun	1	trombone.	From English trombone.
ทรัพยสิทธิ	noun	1	(law) real right.	From ทรัพย (“of or pertaining to property”) + สิทธิ (sìt-tí, “right”); calque of English real right.<br>Probably first used on 11 November 1923, when the first book of the Civil and Commercial Code of Thailand was promulgated.
ทรัพย์	noun	1	(1) money; valuable object, valuable thing; wealth, fortune, treasure; asset, property, possession, belonging. (2) (law, perhaps first used in the Civil and Commercial Code of Siam, promulgated on 11 November 1923) thing: corporeal object, as distinguished from ทรัพย์สิน (sáp-sǐn, “property: corporeal or incorporeal object”). (3) (law, loosely, chiefly found in combination) property: corporeal or incorporeal object. (4) (law, chiefly found in combination) estate: all the money and property owned by a particular person; individual item, article, or piece thereof.	From Pre-Angkorian Old Khmer ទ្រវ្យ (dravya, “asset; possession; property; wealth; valuable; etc”), from Sanskrit द्रव्य (dravya, “object; substance; thing; etc”). Cognate with Modern Khmer ទ្រព្យ (trŏəp).
ทรัมป์	name	1	Trump.	From English Trump.
ทรัสตี	noun	1	(law) trustee.	From English trustee.
ทรัสต์	noun	1	(1) arrangement by which a person, called ทรัสตี (trás-dtii, “trustee”), holds property as its nominal owner for the good of another, called ผู้รับประโยชน์ (pûu-ráp-bprà-yòot, “beneficiary”). (2) (กอง~) property so held. (3) entity managed by trustees	From English trust.
ทราบ	verb	1	(polite) to know; to understand; to realize.	From Khmer ជ្រាប (criəp). Cognate with Lao ຊາບ (sāp).
ทราม	adj	1	(1) (often used of blood) overpouring. (2) base; low; mean; vulgar. (3) bad; evil; immoral; wicked.	From Khmer សំរាម (sɑmraam).
ทราม	adv	1	(1) (often used of blood) in an overpouring manner. (2) basely; lowly; meanly; vulgarly. (3) badly; evilly; immorally; wickedly.	From Khmer សំរាម (sɑmraam).
ทราม	verb	1	to degenerate; deteriorate.	From Khmer សំរាម (sɑmraam).
ทราย	noun	1	sand.	From Proto-Southwestern Tai *zaːjᴬ⁴ (“sand”), from Proto-Tai *zwɯəjᴬ (“sand”), from Old Chinese 沙 (OC *sraːl, *sraːls, “sand”). Cognate with Northern Thai ᨪᩣ᩠ᨿ, Lao ຊາຍ (sāi), Lü ᦌᦻ (saay), Khün ᨪᩣ᩠ᨿ, Shan သၢႆး (sááí), Tai Nüa ᥔᥣᥭᥰ (säay), Ahom ?? (say) or ??? (sayu), Zhuang saiz, Nong Zhuang saiz. Compare Proto-Sino-Tibetan *(s/z)a-j (“earth, sand, soil”).<br>This word was written ซาย (saai) in documents prior to the 18ᵗʰ century, but shifted to the current spelling (with a cluster ทร initial) during the 18–19ᵗʰ centuries, possibly under the popular misconception that this word was of Khmer origin, and that the s- initial had developed from an earlier *dr-, whereas Khmer ទ្រាយ (triəy) means a kind of deer.
ทรุด	verb	1	(1) to collapse; to cave in; to fall; to sink; to subside. (2) (of a condition, state, or situation, as a health condition, economic condition, etc) to decline; to deteriorate; to worsen.	Borrowed from Old Khmer *ស្រុត៑ (*srut, “to cave in; to sink; to subside”); ultimately from Sanskrit द्रुड् (druḍ, “to perish; to sink”). Cognate with Modern Khmer ស្រុត (srot), ទ្រុឌ (trut), ទ្រុត (trut). Extended as Old Khmer សំម្រុត៑ (saṃmrut, “cave-in; landslide”), from which Thai ชำรุด was derived.
ทฤษฎี	noun	1	(1) seeing; viewing. (2) idea; opinion; viewpoint. (3) theory.	From Sanskrit दृष्टि (dṛṣṭi).
ทฤษฎีสมคบคิด	noun	1	conspiracy theory.	Calque of English conspiracy thoery. Same as ทฤษฎี (trít-sà-dii, “theory”) + สมคบ (sǒm-kóp, “conspire”) + คิด (kít, “think”).
ทลาย	verb	1	(1) to collapse; to fall apart. (2) to be or become destroyed, broken, shattered, or ruined. (3) (figurative) to be or become vain or unsuccessful; to come to naught; to fail. (4) to cause to do so. (5) (slang) to strike or attack (in order to destroy or cause the fall of).	From Old Khmer ថ្លាយ (thlāya, “to be shattered; to be ruined; etc”) or Angkorian Old Khmer ទ្លាយ៑ (dlāy), ទ្លៃយ៑ (dlaiy, “idem”), from Proto-Mon-Khmer *laaj. Cognate with Modern Khmer ធ្លាយ (thliəy). Extended as Thai ทำลาย (tam-laai). Possibly related to สลาย (sà-lǎai).
ทวาย	name	1	A city in Myanmar, Dawei	Borrowed from Burmese ထားဝယ် (hta:wai), from Mon ထဝဲါ (“to sit cross-legged”).
ทวาร	noun	1	(1) door. (2) aperture; hole. (3) anus.	From Sanskrit द्वार (dvāra, “door”) or Pali dvāra (“idem”).
ทวิ	num	1	(1) (elegant) two. (2) (law) bis.	From Pali dvi (“two”), ultimately from Sanskrit द्वि (dvi, “two”). Doublet of ทวี (twii). Cognate with Khmer ទ្វិ (tviʼ), ទ្វេ (tvei), Lao ທະວິ (tha wi).
ทวิตเตอร์	name	1	Twitter.	From English Twitter.
ทวิภาค	noun	1	(1) two portions; two parts (2) colon (punctuation)	From Sanskrit द्विभाग (dvibhāga). Same as ทวิ (tá-wí) + ภาค (pâak).
ทวีป	noun	1	(1) continent. (2) isle; island. (3) land; region; realm; territory.	Borrowed from Sanskrit द्वीप (dvīpa, “continent; island”). Compare Khmer ទ្វីប (tviip); Lao ທະວີບ (tha wīp); Old Javanese dwīpa; Pali dīpa.
ทศ	noun	1	(1) (elegant) decad, group of ten things or persons. (2) (numismatics, historical) coin created in the reign of King Mongkut, worth 1/10 of a ชั่ง (châng), that is, 8 บาท (bàat).	From Sanskrit दश (daśa, “ten”).
ทศ	num	1	(1) (elegant) ten. (2) (law) decem.	From Sanskrit दश (daśa, “ten”).
ทศกัณฐ์	name	1	(Hindu mythology) Ravana, the demon king with ten necks	From ทศ (tót, “ten”) + กัณฐ์ (“throat; neck”); literally "ten necks" or "ten-necked"; ultimately made from Sanskrit दश (daśa, “ten”) and कण्ठ (kaṇṭha, “neck”). Compare with Telugu దశకంఠుడు (daśakaṇṭhuḍu) and Burmese ဒဿဂီရိ (da.ssa.giri.).
ทศมี	num	1	(elegant) tenth.	From Sanskrit दशमी (daśamī, “tenth”). Compare Old Khmer daśamī, daśame (“tenth”).
ทส	noun	1	(now rare) Alternative form of ทศ (tót)	From Pali dasa (“ten”). Compare Old Khmer dasa° (“ten”); Modern Khmer ទស (tŭəh).
ทส	num	1	(now rare) Alternative form of ทศ (tót)	From Pali dasa (“ten”). Compare Old Khmer dasa° (“ten”); Modern Khmer ទស (tŭəh).
ทสมี	num	1	(now rare) Alternative form of ทศมี (tót-sà-mii)	From Pali dasamī (“tenth”).
ทอง	noun	1	(1) gold. (2) (slang) feces. (3) any metallic material, such as bronze, brass, copper, etc.	From Old Chinese 銅 (OC *doːŋ, “copper”). Cognate with Old Khmer daṅa, d̈aṅa, daṅṅa, daṃṅa, doṅa, duṅa; Modern Khmer ទង់ (tŭəng), ថង (thɑɑng), ទង (tɔɔng); Lao ທອງ (thǭng); Vietnamese đồng.
ทอฟฟี	noun	1	toffee.	From English toffee.
ทอม	noun	1	(slang, sometimes derogatory or offensive) tomboy.	From English tom or from apocope of English tomboy.
ทอร์นาโด	noun	1	(พายุ~) tornado	From English tornado.
ทะนาน	noun	1	(1) a measuring bowl made of a coconut shell or made from brass, traditionally used to measure rice, sesame seeds, beans, oil, etc. (2) a traditional Thai unit of volume, equal to the amount the said bowl would hold. The standardised unit, called ทะนานหลวง, corresponds to 1 litre.	Possibly from Old Khmer ទ្នាល៑ (dnāl, “unit of measure for rice”) or Old Mon dnāl (“unit of measure for rice”). Cognate with Modern Khmer ធ្នល់ (thnŭəl, “earthenware vessel”). Compare Sanskrit दीनार (dīnāra, “unit of measure for gold or gold coins; seal; etc”).
ทะเล	noun	1	(1) sea. (2) (now chiefly in combination or figurative) any large body of water.	From Pre-Angkorian Old Khmer ទន្លេ ~ ទន្លេយ (danle ~ danley, “large body of water”) or Angkorian Old Khmer *ធ្លេ (*dhle, “larger river, lake, sea”). Cognate with Modern Khmer ទន្លេ (tɔɔtŭənlei).
ทะเลสาบ	name	1	Tonlé Sap, a lake of fresh water in Cambodia.	From ทะเล (tá-lee, “large body of water”) + สาบ (sàap, “large body of water”); ultimately from Pre-Angkorian Old Khmer danle, danley (“large body of water”) + sāppa, śāpa, śāp, ʼsāp, ʼasāp, *sāp (“fresh (water)”). Compare Lao ທະເລສາບ (tha lē sāp), Modern Khmer ទន្លេសាប (tɔɔtŭənlei saap).
ทะเลสาบ	noun	1	lake (fresh or salt water).	From ทะเล (tá-lee, “large body of water”) + สาบ (sàap, “large body of water”); ultimately from Pre-Angkorian Old Khmer danle, danley (“large body of water”) + sāppa, śāpa, śāp, ʼsāp, ʼasāp, *sāp (“fresh (water)”). Compare Lao ທະເລສາບ (tha lē sāp), Modern Khmer ទន្លេសាប (tɔɔtŭənlei saap).
ทะเลาะ	verb	1	(1) to brawl; to quarrel. (2) to argue; to dispute.	From Khmer ឈ្លោះ (chlŭəh, “to quarrel”).
ทักษะ	noun	1	skill.	From Sanskrit दक्ष (dakṣa, “able, competent, expert, clever; ability, power, fitness; etc.”).
ทักษิณ	adj	1	(1) (elegant) southern. (2) (elegant) right (as opposed to left).	From Sanskrit दक्षिण (dakṣiṇa). Compare Pali dakkhiṇa, from which Thai ทักขิณ is derived. Cognate with Lao ທັກສິນ (thak sin).
ทักษิณ	name	1	(politics) Thaksin Shinawatra, a prime minister of Thailand.	From Sanskrit दक्षिण (dakṣiṇa). Compare Pali dakkhiṇa, from which Thai ทักขิณ is derived. Cognate with Lao ທັກສິນ (thak sin).
ทักษิณ	noun	1	(elegant) south.	From Sanskrit दक्षिण (dakṣiṇa). Compare Pali dakkhiṇa, from which Thai ทักขิณ is derived. Cognate with Lao ທັກສິນ (thak sin).
ทักษิโณทก	noun	1	water poured out during a solemn declaration of gift so as to confirm the declaration.	From Sanskrit दक्षिणा (dakṣiṇā, “donation”) + उदक (udaka, “water”). Cognate with Khmer ទក្សិណោទក (tôksĕnaôtkâ).
ทัชสกรีน	noun	1	touch screen.	From English touch screen.
ทัณฑฆาต	noun	1	(1) (typography) the name of the diacritical mark ◌์, chiefly used to kill or silence a letter. (2) (archaic) execution by beating one to death with a stick.	From Sanskrit दण्डाघात (daṇḍāghāta, literally “striking with a stick”), from दण्ड (daṇḍa, “stick; bar; rod”) + घात (ghāta, “strike; stroke”); or from Pali daṇḍaghāta (idem), from daṇḍa (idem) + ghāta (idem); equivalent to Thai ทัณฑ + ฆาต (kâat). Cognate with Khmer ទណ្ឌឃាដ (tŏəndĕəʼkhiət).
ทัณฑ์	noun	1	punishment; penalty	From Sanskrit दण्ड (daṇḍa) or Pali daṇḍa.

ทันต์	noun	1	tooth.	From Pali danta (“tooth; tusk; fang”); compare Sanskrit दन्त (danta, ibid.).
ทับ	noun	2	the name of punctuation mark: /	Cognate with Lao ທັບ (thap), Zhuang daeb.
ทับ	verb	2	(1) to overlay; to put on top (2) to press; to weigh down (3) to run over; to drive over (4) to mate (of animals)	Cognate with Lao ທັບ (thap), Zhuang daeb.
ทับทิม	noun	1	(1) pomegranate (Punica granatum) (fruit) (2) (mineralogy) ruby (3) (chemistry) potassium permanganate (KMnO₄) (4) ruby red, ruby, ruby color.	From Sanskrit दाडिम (dāḍima, “pomegranate”).
ทัปเปอร์แวร์	noun	1	Tupperware	From English Tupperware.
ทัพ	noun	1	(1) troops; armed force; military body; body of fighting men. (2) (slang) multitude.	From Old Khmer ទប្ប (dâppa, “armed force”); ultimate origin undetermined. Cognate with Modern Khmer ទ័ព (tŏəp), Mon ဒပ်.
ทัพ	noun	2	(1) (elegant) appliance; equipment; material; utensil. (2) (elegant) fortune; wealth; money. (3) (elegant) item; object; thing.	From Pali dabba (“wealth; substance; etc”).
ทัมบ์ไดรฟ์	noun	1	thumb drive; flash drive	From English thumb drive, from the trademark owned by Trek Technologies.
ทัวร์	noun	1	(1) (colloquial) tour. (2) (colloquial) tourist. (3) (slang, humorous) group of persons who bombard a person or web page with negative or trolling comments or messages.	From English tour.
ทัวร์	verb	1	(colloquial) to tour.	From English tour.
ทั่ง	noun	1	anvil	Cognate with Northern Thai ᨴᩢ᩠᩵ᨦ, Lao ທັ່ງ (thang), Lü ᦑᧂᧈ (tang¹), Shan တင်ႈ (tāng).
ทา	verb	1	to apply something on something by means of rubbing, smearing, painting, or the like; to be applied with something in such manner: to wear, to have (on), etc.	From Proto-Tai *daːᴬ, from Middle Chinese 塗 (MC ɖˠa, “smear”). Cognate with Northern Thai ᨴᩤ, Lao ທາ (thā), Lü ᦑᦱ (taa), Tai Dam ꪕꪱ, Shan တႃး (táá), Ahom ?? (ta).
ทาง	noun	1	(1) way, route, or course for travel. (2) opportunity; chance. (3) section; part; side. (4) method; means; procedure; process.	From Proto-Southwestern Tai *daːŋᴬ² (“road; way”), from Middle Chinese 唐 (MC dɑŋ, “road inside temple”). Cognate with Northern Thai ᨴᩤ᩠ᨦ, Khün ᨴᩤ᩠ᨦ, Lao ທາງ (thāng), Lü ᦑᦱᧂ (taang), Tai Dam ꪕꪱꪉ, Shan တၢင်း (tááng), Tai Nüa ᥖᥣᥒᥰ (täang), Ahom ??? (taṅ).
ทางด่วน	noun	1	expressway.	From ทาง (taang, “way”) + ด่วน (dùuan, “express”); perhaps calque of English expressway.
ทาจิกิสถาน	name	1	Tajikistan (a country in Asia)	From English Tajikistan.
ทาชเคนต์	name	1	Tashkent (the capital city of Uzbekistan)	From English Tashkent.
ทาฐิกะ	noun	1	moustache.	Borrowed from Pali dāṭhikā (“beard; whiskers”); compare Sanskrit दाढिका (dāḍhikā, “beard”).
ทาน	noun	1	alms; donation; gift.	From Pali dāna (“alms; donation; gift”) or Sanskrit दान (dāna, “idem”); perhaps via Old Khmer dāna, dān (“idem”); extended as Sanskrit प्रदान (pradāna), Old Khmer pradāna, from which Thai ประทาน (bprà-taan) was derived. Cognate with Modern Khmer ទាន (tiən); Lao ທານ (thān).
ทานข้าว	verb	1	(nonstandard) to eat food; to have a meal	Lit.: ทาน (taan) + ข้าว (kâao): "to eat rice, (by extension) food". Cf. to similar expressions in other languages, e.g. Chinese 吃飯／吃饭 (chīfàn, “to eat rice/food”), Vietnamese ăn cơm (“to eat rice/food”)
ทานาคา	noun	1	thanakha.	From English thanakha, from Burmese သနပ်ခါး (sa.naphka:).
ทาย	verb	1	(1) to divine; to prophesy; to predict. (2) (of a dream, omen, sign, etc) to interpret; to read. (3) to ask; to put (a question); to seek an answer (for a question); to question. (4) (of an answer, secret, feeling, etc) to guess; to figure out. (5) (only in combination) to greet; to welcome.	From Old Khmer dāya (“to predict, to foretell; to interpret”), extended as °daṃnāya, from which Thai ทำนาย (tam-naai) is derived. Cognate with Modern Khmer ទាយ (tiəy).
ทาย	verb	2	(archaic, poetic) to lift, to raise, to elevate; to hold, to carry.	From corruption of Pali ādāya (“having held; having taken”).
ทาย	adj	3	(elegant, only in combination) given; granted.	From Pali dāya (“gift; donation”), from Sanskrit दाय (dāya, idem).
ทายาท	noun	1	heir, heiress	Borrowed from Pali dāyāda or Sanskrit दायाद (dāyāda). Compare Khmer ទាយាទ (tiəyiət), Lao ທາຍາດ.
ทายาทโดยธรรม	noun	1	(law) heir-at-law.	From ทายาท (taa-yâat, “heir”) + โดย (dooi, “by”) + ธรรม (tam, “law”); literally "heir by law"; calque of English statutory heir.
ทารก	noun	1	(1) (formal) baby: infant or very young child. (2) (figurative, sometimes derogatory) immature person; naive person.	From Pali dāraka (“child (especially male child)”) or Sanskrit दारक (dāraka, idem). Cognate with Khmer ទារក (tiərŭək).
ทาริกา	noun	1	baby girl	Borrowed from Pali dārikā. Cognate with Khmer ទារិកា (tiərikaa).
ทารุณ	adj	1	cruel, ferocious, savage	From Pali dāruṇa. Compare Khmer ទារុណ (tiərun).
ทารุณกรรม	noun	1	(1) abuse (2) torture	ทารุณ (taa-run) + กรรม (gam). Compare Khmer ទារុណកម្ម (tiərunkam).
ทาร์เซียร์	noun	1	tarsier (primate)	From English tarsier.
ทาลลินน์	name	1	Tallinn (the capital city of Estonia)	From English Tallinn.
ทาส	adj	1	(1) (elegant, literary, poetic) slavish. (2) (elegant, literary, poetic) base; low; mean.	Borrowed from Pali dāsa (“slave; servant”) or Sanskrit दास (dāsa, “idem”).
ทาส	noun	1	(1) (irrespective of the sex) slave; servant. (2) male slave; male servant. (3) slavery.	Borrowed from Pali dāsa (“slave; servant”) or Sanskrit दास (dāsa, “idem”).
ทาสี	noun	1	female slave; female servant.	From Pali dāsī (“female servant or slave”), ultimately from Sanskrit दासी (dāsī, “idem”).<br>Cognate with Lao ທາສີ (thā sī).
ทำนบ	noun	1	water barrier: dam, dyke, barrage, etc.	From Old Khmer daṃnap daṃnapp (“that which obstructs or block; barrage, dam”) or Angkorian Old Khmer daṃnap (idem), extended forms of dap, *dap, *dapp (“to obstruct or block; to close, to shut; to cover; etc”), from which Thai ทบ (tóp) is derived. Cognate with Modern Khmer ទំនប់ (tumnup).
ทำนอง	noun	1	(1) style; manner; way; form. (2) melody; tune; rhythm.	From Khmer ទំនង (tumnɔɔng, “process, development, course; order, succession; method, manner, way; pattern; logic; appearance; tradition, custom; to seem, to be like; to be likely”). Cognate with Lao ທຳນອງ (tham nǭng).
ทำนาย	noun	1	(1) divination; forecast; prediction; prophecy. (2) (of an omen, dream, etc) interpretation.	From Old Khmer °daṃnāya, °daṃnāyya (“forecast; prediction; prophecy”), extended forms of Old Khmer dāya (“to interpret; to portend; to presage"”), from which Thai ทาย (taai) was derived. Cognate with Modern Khmer ទំនាយ (tumniəy).
ทำนาย	verb	1	(1) to divine; to forecast; to predict; to prophesy. (2) (of an omen, dream, etc) to interpret.	From Old Khmer °daṃnāya, °daṃnāyya (“forecast; prediction; prophecy”), extended forms of Old Khmer dāya (“to interpret; to portend; to presage"”), from which Thai ทาย (taai) was derived. Cognate with Modern Khmer ទំនាយ (tumniəy).
ทำลาย	verb	1	(1) to cause to collapse or fall apart; to break apart; to throw into pieces. (2) to ruin; to bring to ruins; to damage; to spoil. (3) to destroy; to eliminate; to extinguish.	Extended form of Thai ทลาย (tá-laai), from Old Khmer thlāya or Angkorian Old Khmer dlāy, dlaiy (“to be shattered; to be ruined; etc”).
ทำเนียบขาว	name	1	White House.	Calque of English White House. Same as ทำเนียบ (tam-nîiap) + ขาว (kǎao).
ทิชชู	noun	1	tissue paper.	From English tissue.
ทิด	noun	1	(Buddhism, informal) former priest; also used as a title for or term of address to a former priest.	Believed to be a clipping of Pali paṇḍita (“wise man; learned man; scholar”) or Sanskrit पण्डित (paṇḍita, idem), from which Thai บัณฑิต (ban-dìt) is derived. Cognate with Modern Khmer បណ្ឌិត (bɑndɨt, “former monk”).
ทิป	noun	1	tip: small amount of money given as a token of appreciation.	From English tip.
ทิป	verb	1	to tip.	From English tip.
ทิพ	adj	1	Alternative form of ทิพย์ (típ)	From Pali dibba (“celestial; divine; heavenly; etc”).
ทิพ	noun	1	Alternative form of ทิพย์ (típ)	From Pali dibba (“celestial; divine; heavenly; etc”).
ทิพย์	adj	1	(1) celestial; divine; heavenly. (2) magic; magical; supernatural. (3) (figurative) excellent; magnificent; splendid; superb; wonderful. (4) (slang, humorous, sarcastic) existing in imagination; imagined; fanciful; unreal; fake; feigned.	From Sanskrit दिव्य (divya, “agreeable; celestial; magical; etc”); possibly via Old Khmer dibya (“celestial, divine; magical, supernatural; excellent, magnificent; etc”). Compare Pali dibba, from which Thai ทิพ (típ) is derived. Cognate with Modern Khmer ទិព្វ (tɨp).
ทิพย์	adv	1	(1) magically; supernaturally; through magic or supernatural power. (2) (slang, humorous, sarcastic) in imagination; fancifully; in an unreal manner; fakely; feignedly.	From Sanskrit दिव्य (divya, “agreeable; celestial; magical; etc”); possibly via Old Khmer dibya (“celestial, divine; magical, supernatural; excellent, magnificent; etc”). Compare Pali dibba, from which Thai ทิพ (típ) is derived. Cognate with Modern Khmer ទិព្វ (tɨp).
ทิพย์	noun	1	(1) (elegant) heaven; paradise. (2) (elegant, literary, poetic) day.	From Sanskrit दिव्य (divya, “agreeable; celestial; magical; etc”); possibly via Old Khmer dibya (“celestial, divine; magical, supernatural; excellent, magnificent; etc”). Compare Pali dibba, from which Thai ทิพ (típ) is derived. Cognate with Modern Khmer ទិព្វ (tɨp).
ทิวงคต	verb	1	(used of crown princes and other high-ranking royals) to die.	From Sanskrit दिवङ्गत (divaṅgata, literally “gone to heaven”); probably via Old Khmer divaṅgata (“to die”).
ทิวลิป	noun	1	(ดอก~) tulip	From English tulip.
